DATE,Retail_Sales
07/01/2018,9788
08/01/2018,10081
09/01/2018,8951
10/01/2018,9104
11/01/2018,8656
12/01/2018,8376
01/01/2019,8828
02/01/2019,9675
03/01/2019,11856
04/01/2019,10345
05/01/2019,10549
06/01/2019,10078
07/01/2019,10255
08/01/2019,10357
09/01/2019,9404
10/01/2019,9696
11/01/2019,9355
12/01/2019,8669
01/01/2020,8971
02/01/2020,10567
03/01/2020,9314
04/01/2020,6395
